Name,Title,URL,Views,Likes,Comment_Count,Downloadable_Link
Hitesh Choudhary,DevOps Pro Course launch  Live classes,https://www.youtube.com/watch?v=2fXQvy0kFak,8.1K,557,100,https://drive.google.com/file/d/1cLzEp5x_6PxvGkrugS98UwAPrrS7q2xC/view?usp=sharing
Hitesh Choudhary,Complete iOS developer course,https://www.youtube.com/watch?v=rp56yKfIkmo,7.6K,454,142,https://drive.google.com/file/d/12x8hWZQksx9VzYkdY4vB26zlyyttM5uw/view?usp=sharing
Hitesh Choudhary,Let’s catch up at LPU Punjab Hackathon with 35 lakh of prizes,https://www.youtube.com/watch?v=rd3lN6yQZIQ,3K,174,38,https://drive.google.com/file/d/1Ti17D7lDAwDTF1RC04TiWCy4zvqMhhZ6/view?usp=sharing
Hitesh Choudhary,Live support and free seats,https://www.youtube.com/watch?v=nAeFbJ_EXOo,9.4K,640,157,https://drive.google.com/file/d/1AbvGeANwz15dEOtuLht5ZAGVdPv-E-XO/view?usp=sharing
Hitesh Choudhary,Next Hackathon is at your home  35000 cash prize,https://www.youtube.com/watch?v=yopaUqfhQkQ,8.2K,604,28,https://drive.google.com/file/d/1aE7Vo0y3QEMrBMr7TLNe6yRRncSLXNO-/view?usp=sharing
Hitesh Choudhary,Learn backend development with prisma and mongodb  part 3,https://www.youtube.com/watch?v=arYn3DJcicw,4.3K,165,7,https://drive.google.com/file/d/1roDKtCp0JG2h2F1sCQjKgO05IYY5iKSQ/view?usp=sharing
Hitesh Choudhary,Learn backend development with Prisma and mongodb  part 2,https://www.youtube.com/watch?v=qcIotzhNLDU,6K,214,15,https://drive.google.com/file/d/1pOdnQuvZEjnYPEtgHxJ4XQ5nbXwcHKmV/view?usp=sharing
Hitesh Choudhary,Learn backend development with Prisma and mongodb,https://www.youtube.com/watch?v=IiqhMNPWGEs,10K,505,19,https://drive.google.com/file/d/1IyasFMn1LTwlBFnkkeC1HpTtsBd0Rvki/view?usp=sharing
Hitesh Choudhary,Lets learn Tailwind  live,https://www.youtube.com/watch?v=O6-6VfPBNjE,7.8K,403,17,https://drive.google.com/file/d/1mPg9irqklHypWJIFlCHP9fwlHW_yLqou/view?usp=sharing
Hitesh Choudhary,This will change edtech,https://www.youtube.com/watch?v=nSbxyFQaLk8,11K,781,31,https://drive.google.com/file/d/1N3gg0G2AQTJzQfVKpFVBJLbzhccI-u7G/view?usp=sharing
Hitesh Choudhary,Meet creator of FastAPI  Sebastián Ramírez Montaño,https://www.youtube.com/watch?v=6m0amaGV1ak,10K,406,22,https://drive.google.com/file/d/1yQDQrhoqMaMCNpsI0zIVqAE4k7PABgwn/view?usp=sharing
Hitesh Choudhary,Just another random live ,https://www.youtube.com/watch?v=Wl_t3Qj_3rk,7.7K,405,9,https://drive.google.com/file/d/1je9ToTH7nOQvSeRTbWEk9AXvqQwpkUEi/view?usp=sharing
Hitesh Choudhary,Put your IMPACT write more code  iNeuron Intelligence,https://www.youtube.com/watch?v=NCZwoMcgk50,20K,557,50,https://drive.google.com/file/d/1ipjPT4ogSYA7IJkj10IbAQ4qiOwbFH1y/view?usp=sharing
Hitesh Choudhary,We are solving tech hiring problem next  FindCoder,https://www.youtube.com/watch?v=JezatpCP9C0,10K,724,50,https://drive.google.com/file/d/15HgciCffgjCbL2cflp4uzh2BInWznoJk/view?usp=sharing
Hitesh Choudhary,What the BUN  its all about speed,https://www.youtube.com/watch?v=Kr-2KprTbc0,11K,546,34,https://drive.google.com/file/d/1Fwb-itDx_WIIxwzkUXcw2P7Lnn5y5fPH/view?usp=sharing
Hitesh Choudhary,DSA for FAANG  System Design  Python  Javascript,https://www.youtube.com/watch?v=Ji0lePu7NX0,13K,693,74,https://drive.google.com/file/d/1Ar09ZVVxvdoEHvyRtdvcHw0vd8QaqjFf/view?usp=sharing
Hitesh Choudhary,A really BIG announcement  remote jobs and LCO,https://www.youtube.com/watch?v=7F2LkS3jpPA,28K,"1,559",148,https://drive.google.com/file/d/1NcIHN_ps0nzqXhNYbAgFUvHBe-2zBodF/view?usp=sharing
Hitesh Choudhary,Appwrite crash course  Open Source Backend as a Service  Reactjs,https://www.youtube.com/watch?v=jkngyZjRETs,8.7K,328,37,https://drive.google.com/file/d/1W8QsedsTGOQK-3WW3ohAeSvtORgnegrv/view?usp=sharing
Hitesh Choudhary,Full Stack Java Script Web Developer  induction class,https://www.youtube.com/watch?v=eEirQbMZEWI,34K,"1,301",56,https://drive.google.com/file/d/1WIfXNMi6YQ9jH3G5JnD7AFFvFCRupdfq/view?usp=sharing
Hitesh Choudhary,How to install and setup Appwrite locally,https://www.youtube.com/watch?v=pOqT7yczlj4,3.9K,188,13,https://drive.google.com/file/d/1GsCTtebBHePERCfVs5JEVd0Cl4BAA9ey/view?usp=sharing
Hitesh Choudhary,How to install Mongodb 5  latest MAC installation,https://www.youtube.com/watch?v=s1WQ0eEpqqg,6.2K,201,47,https://drive.google.com/file/d/1onuPefcP9Bd4L4nBzLSQkkkDmBiCoPY-/view?usp=sharing
Hitesh Choudhary,Join me up in Full stack javascript Job guarantee bootcamp,https://www.youtube.com/watch?v=FSNE3gZaTIw,8.7K,382,49,https://drive.google.com/file/d/1i34HOXTZg0PKZrW8XJcNFu2nSibKTMgP/view?usp=sharing
