Name,Title,URL,Views,Likes,Comment_Count,Downloadable_Link
MySirG,Number Shifting Game Project in C,https://www.youtube.com/watch?v=5mbQuIr6f8o,10K,548,36,https://drive.google.com/file/d/1TXQMG-4C-F4IvsG33fLCQ-sUAehXIU-j/view?usp=sharing
MySirG,Introduction to C and OOP Bootcamp Batch LIVE,https://www.youtube.com/watch?v=PTlNfIaSGus,16K,880,73,https://drive.google.com/file/d/1p02hqgdvH7_VZZ79FJjghr4FeHCdQQXF/view?usp=sharing
MySirG,MySirG Gift on Independence Day  Jai Hind,https://www.youtube.com/watch?v=AwmhL1N8QEE,12K,802,179,https://drive.google.com/file/d/1WooOz9PXRz4tsTNT4etrssJyQQmU2oFZ/view?usp=sharing
MySirG,Loops in Python  LIVE Community Classes  MySirG,https://www.youtube.com/watch?v=KFZ3Eftp8lo,10K,458,21,https://drive.google.com/file/d/1N5ZwACsFY9C5AZ74lxZkemuhpAvqzTsR/view?usp=sharing
MySirG,Decision Control in Python  LIVE Community Classes  MySirG,https://www.youtube.com/watch?v=-Po6d6Zm3cE,7.3K,360,12,https://drive.google.com/file/d/1VQzDIv4tIo_NIPyZzNy95wnt63Lb9Yxj/view?usp=sharing
MySirG,Keywords Operators and User input in Python  LIVE Community Classes  MySirG,https://www.youtube.com/watch?v=2D7uw4ghr88,10K,534,15,https://drive.google.com/file/d/1uKEB6FRyxt2-mwz_7w9D5dCn88h1yaXk/view?usp=sharing
MySirG,Variables and Types in Python  LIVE Community Classes  MySirG,https://www.youtube.com/watch?v=ppKaxLop79c,12K,720,27,https://drive.google.com/file/d/1hpFVsE1e-4fbpDJUIJbuweyWKLqRf9_7/view?usp=sharing
MySirG,Introduction to Python  LIVE Community Classes  MySirG,https://www.youtube.com/watch?v=MpEldU7Z_Wc,24K,"1,424",90,https://drive.google.com/file/d/16uo--h_34S_pDFzYkRmrtCeE7EkKcNps/view?usp=sharing
MySirG,Pointers in C Language  Community Classes  LIVE  MySirG,https://www.youtube.com/watch?v=QaBLikVYeWI,10K,514,51,https://drive.google.com/file/d/1231oUsTwJe8PNAVh8zEY4kjBZ6KIPq_N/view?usp=sharing
MySirG,Strings in C Language  Community Classes  LIVE  MySirG,https://www.youtube.com/watch?v=0li7LVo0Zfc,8.7K,471,16,https://drive.google.com/file/d/1amruzrmz0s0CLesaHD1Hwx0Q2oGMECGp/view?usp=sharing
MySirG,Arrays in C Language  Community Classes  LIVE  MySirG,https://www.youtube.com/watch?v=LBLoa3btyVw,9.8K,485,23,https://drive.google.com/file/d/1GH61r4QbEGyZk8YeXBgarvOUz5SRO-TM/view?usp=sharing
MySirG,Recursion in C Language  Community Classes  LIVE  MySirG,https://www.youtube.com/watch?v=E8LZZUC_2g0,9.3K,600,36,https://drive.google.com/file/d/1DHEF3ChATi1eQhjz1G3F_qwFEun3G3Ui/view?usp=sharing
MySirG,Functions in C Language  Community Classes  LIVE  MySirG,https://www.youtube.com/watch?v=8yJFzfYMk30,12K,656,41,https://drive.google.com/file/d/17gNSEA8mlx07LeMKgV-gd-hn6swg59di/view?usp=sharing
MySirG,How Rohit Negi cracked 2 Crore package  MySirG Family,https://www.youtube.com/watch?v=oHzGUSprgMY,64K,"3,673",197,https://drive.google.com/file/d/1gPdava_BOJzQFj2YHPwO06o8B8Z2xTm9/view?usp=sharing
