Name,Title,URL,Views,Likes,Comment_Count,Downloadable_Link
Telusko,Full Stack Java Developer Live Course  Job Guarantee  Announcement,https://www.youtube.com/watch?v=b7OryQDDCsU,16K,924,121,https://drive.google.com/file/d/1K7tvT2BM8gv3Q4kg9sIVcU_PbyXzCAjX/view?usp=sharing
Telusko,TechAThon at Lovely Professional UniversityLPU,https://www.youtube.com/watch?v=3NfjY7ddHz8,6.3K,152,23,https://drive.google.com/file/d/14s9z8wzDuAqfLWsEanyh9_Xh3R3HLq92/view?usp=sharing
Telusko,Had an Amazing Week  Saturday Live,https://www.youtube.com/watch?v=4auwnxsEDeI,7.5K,241,19,https://drive.google.com/file/d/1tn8Q5qFrGpwJ_O5XO-dd1iitbqQfPQFn/view?usp=sharing
Telusko,76th Independence Day Celebration Offer,https://www.youtube.com/watch?v=ujyvH3DjisE,8.9K,283,35,https://drive.google.com/file/d/149VreL0ejEL3zqGdhSz_TLQClcTaJWop/view?usp=sharing
Telusko,Blockchain Quiz  Basics,https://www.youtube.com/watch?v=UnffRY0btLQ,4.9K,148,11,https://drive.google.com/file/d/1q1Sg-QzZXO4JtDebA5TiKzw72w8h1TWT/view?usp=sharing
Telusko,JavaScript Programming Tutorial for Beginners,https://www.youtube.com/watch?v=IC5vBKc21X8,42K,"1,564",110,
Telusko,Does Your Code Smell ,https://www.youtube.com/watch?v=vTWpddJiUXI,21K,724,28,https://drive.google.com/file/d/15GsEQnjfgJl-KGTlvwoCzKaCAMztLb5z/view?usp=sharing
Telusko,Quiz at Blockchain Hackathon  Menti,https://www.youtube.com/watch?v=Z7UXVx30If0,10K,184,13,https://drive.google.com/file/d/1YFZXDHIROzDSF_gwNtgoODczYZJYe3tR/view?usp=sharing
Telusko,Blockchain Hackathon Highlights iNeuron Intelligence Neo Smart Economy,https://www.youtube.com/watch?v=pFW9zyaVF4U,6.7K,166,7,https://drive.google.com/file/d/1MgVlf-qOUCEeNpwKHMUrIqf2YQigBSIu/view?usp=sharing
Telusko,Full Stack Blockchain Development Induction,https://www.youtube.com/watch?v=IVJoISiw28c,30K,574,35,https://drive.google.com/file/d/1tYQqxrYGmMjI_u5ZSfxcHPjKwcTrJHP9/view?usp=sharing
Telusko,Blockchain Workshop Live,https://www.youtube.com/watch?v=9dGj5hAi0mE,9.6K,276,23,https://drive.google.com/file/d/1UXezmHqCrYwKk9rFlaWjG5JsCTxEBs7D/view?usp=sharing
Telusko,Sealed Classes in Java  Java 17 features,https://www.youtube.com/watch?v=glvYULuaf-k,5.5K,220,42,https://drive.google.com/file/d/1haLosARE4WQFBMHEpdffvCGGnAFM3SYl/view?usp=sharing
Telusko,Record Classes in Java  Java 17 features,https://www.youtube.com/watch?v=pmVgs8wOk5o,6.8K,232,29,https://drive.google.com/file/d/1T5dRyJMhMPWxOA4bUGiKYnAvGRVprrnd/view?usp=sharing
Telusko,Solidity Ethereum Blockchain Live Course  Writing a Dapp,https://www.youtube.com/watch?v=SuN78CgBjLM,7.6K,229,10,https://drive.google.com/file/d/1upERL0CD-cfSOx0VeepU8Rl9uoMEmG0q/view?usp=sharing
Telusko,Whats new in Java Switch  Switch Statement and Expression,https://www.youtube.com/watch?v=AZb1wLIQ1R4,9.9K,436,37,https://drive.google.com/file/d/1qsJT0-TvMljgT_rJmyWETaVvRceduTbX/view?usp=sharing
Telusko,Ultimate Blockchain Live Course  Become a Blockchain Developer,https://www.youtube.com/watch?v=Md2eYUuVHkE,40K,274,67,https://drive.google.com/file/d/1fhoRUQxQjl2BOU_2Wac2eL7IUjih4aAB/view?usp=sharing
